company,school_1,alumnicount_1,school_2,alumnicount_2,school_3,alumnicount_3,school_4,alumnicount_4,school_5,alumnicount_5,school_6,alumnicount_6,school_7,alumnicount_7,school_8,alumnicount_8,school_9,alumnicount_9,school_10,alumnicount_10,school_11,alumnicount_11,school_12,alumnicount_12,school_13,alumnicount_13,school_14,alumnicount_14,school_15,alumnicount_15,id
Cadence Design Systems,"birla institute of technology and science, pilani",203,universidade federal de minas gerais,135,san josé state university,133,"indian institute of technology, delhi",106,national chiao tung university,106,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,81
Caesars Entertainment,university of nevada-las vegas,669,college of southern nevada,305,"university of nevada, reno",196,university of phoenix,144,stockton university,134,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,82
Camden Property Trust,university of houston,48,texas a&m university,31,houston community college,17,university of houston-downtown,16,virginia tech,14,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,83
Campbell Soup Company,penn state university,194,university of phoenix,92,saint joseph's university,87,drexel university,87,rutgers university,82,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,84
Capital One,virginia commonwealth university,1418,university of virginia,1306,virginia tech,1119,university of maryland,985,georgia institute of technology,803,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,85
Cardinal Health,the ohio state university,865,ohio university,332,the ohio state university fisher college of business,302,franklin university,271,university of phoenix,217,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,86
CarMax,virginia commonwealth university,266,university of phoenix,126,virginia tech,114,university of virginia,114,james madison university,98,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,87
Carnival,florida international university,269,miami dade college,176,florida international university - college of business,60,nova southeastern university,58,university of florida,54,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,88
Carrier Global,universidad autónoma de nuevo león,394,purdue university,156,tecnológico de monterrey,144,universidad tecmilenio,120,universidad de monterrey,89,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,89
Caterpillar Inc.,bradley university,1743,illinois central college,1150,university of illinois urbana-champaign,1074,illinois state university,952,purdue university,779,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,90
Cboe Global Markets,the university of kansas,50,depaul university,45,university of illinois urbana-champaign,44,university of chicago,23,illinois institute of technology,23,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,91
CBRE Group,university of reading,269,university of southern california,243,arizona state university,238,the university of texas at austin,218,university college of estate management,194,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,92
CDW,illinois state university,281,university of illinois urbana-champaign,279,depaul university,253,northern illinois university,253,college of lake county,176,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,93
Celanese,texas a&m university,70,eötvös loránd university,63,budapest university of economics and business,55,corvinus university of budapest,50,alma mater studiorum – università di bologna,42,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,94
Cencora,penn state university,194,university of phoenix,182,vilniaus universitetas / vilnius university,134,anadolu university,125,university of north texas,108,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,95
Centene Corporation,university of phoenix,721,university of south florida,628,western governors university,386,webster university,372,university of missouri-saint louis,342,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,96
CenterPoint Energy,university of houston,373,texas a&m university,165,university of southern indiana,156,university of houston-downtown,121,houston community college,113,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,97
CF Industries,louisiana state university,78,northern illinois university,30,mississippi state university,29,nicholls state university,28,university of illinois urbana-champaign,27,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,98
Charles River Laboratories,western michigan university,230,"university of nevada, reno",208,michigan state university,204,université de montréal,175,université claude bernard lyon 1,138,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,99
Charles Schwab Corporation,arizona state university,717,university of north texas,535,the university of texas at austin,479,colorado state university,420,the university of texas at arlington,402,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,100
Charter Communications,university of phoenix,422,university of missouri-saint louis,203,jawaharlal nehru technological university,198,university of colorado boulder,194,university of north carolina at charlotte,184,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,101
Chevron Corporation,texas a&m university,921,university of houston,631,university of buenos aires,580,the university of texas at austin,556,louisiana state university,483,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,102
Chipotle Mexican Grill,the ohio state university,166,southern new hampshire university,139,arizona state university,122,kent state university,116,university of cincinnati,103,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,103
Chubb Limited,universidad autónoma de nuevo león,366,rutgers university,283,tecnológico de monterrey,245,penn state university,241,temple university,167,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,104
Church & Dwight,rutgers university,110,penn state university,78,rider university,63,rutgers business school,49,colorado state university,45,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,105
Cigna,university of phoenix,466,university of hartford,421,university of connecticut,390,central connecticut state university,287,penn state university,240,the university of tennessee at chattanooga,181,southern new hampshire university,169,arizona state university,162,capella university,153,middle tennessee state university (mtsu),141,temple university,120,jawaharlal nehru technological university,117,university of connecticut school of business,109,rutgers university,108,the university of alabama,71,106
Cincinnati Financial,university of cincinnati,361,miami university,326,xavier university,110,university of cincinnati carl h. lindner college of business,108,the ohio state university,108,northern kentucky university,101,cincinnati state technical and community college,86,ohio university,65,bowling green state university,46,wright state university,42,university of dayton,38,wilmington college (oh),37,mount st. joseph university,33,university of phoenix,26,university of kentucky,26,107
Cintas,university of cincinnati,252,miami university,246,university of phoenix,147,xavier university,105,ohio university,96,penn state university,90,the ohio state university,88,the university of alabama,86,university of kentucky,85,indiana university bloomington,84,texas state university,73,arizona state university,68,university of dayton,65,university of missouri-columbia,62,ball state university,62,108
Cisco,san josé state university,1589,north carolina state university,1432,cisco networking academy,837,"birla institute of technology and science, pilani",811,visvesvaraya technological university,773,university of mumbai,577,"university of california, berkeley",568,stanford university,537,university of southern california,466,georgia institute of technology,425,savitribai phule pune university,403,kendriya vidyalaya,389,cornell university,324,vellore institute of technology,323,"university of california, berkeley, haas school of business",199,109
Citigroup,university of mumbai,1833,new york university,991,the institute of chartered accountants of india,934,university of madras,900,the london school of economics and political science (lse),876,savitribai phule pune university,863,nyu stern school of business,827,columbia university,764,delhi university,674,cornell university,663,the wharton school,465,"birla institute of technology and science, pilani",401,columbia business school,357,università bocconi,324,london business school,277,110
Citizens Financial Group,bryant university,47,boston college,27,university of rhode island,25,bentley university,23,providence college,22,boston university,20,community college of rhode island,18,babson college,16,boston college carroll school of management,15,rhode island college,15,johnson & wales university,15,university of connecticut,11,university of rhode island - college of business,10,university of massachusetts amherst,10,harvard business school,10,111
Clorox,georgia institute of technology,101,"university of california, berkeley",84,tecnológico de monterrey,70,north carolina state university,65,"university of california, davis",61,university of buenos aires,61,university of arkansas,58,california polytechnic state university-san luis obispo,50,"university of california, berkeley, haas school of business",44,california state university - east bay,42,universidad nacional autónoma de méxico,41,michigan state university,40,purdue university,39,university of illinois urbana-champaign,36,ucla,33,112
CME Group,depaul university,185,university of illinois urbana-champaign,143,university of illinois chicago,93,ulster university,89,queen's university belfast,88,northwestern university,68,northern illinois university,66,illinois institute of technology,62,university of chicago,59,loyola university chicago,50,the university of chicago booth school of business,48,depaul driehaus college of business,43,"kalinga institute of industrial technology, bhubaneswar",38,indiana university bloomington,38,northwestern university - kellogg school of management,34,113
CMS Energy,michigan state university,398,central michigan university,250,western michigan university,191,michigan technological university,178,ferris state university,151,jackson college,146,spring arbor university,137,delta college,132,university of michigan,132,grand valley state university,131,eastern michigan university,131,lansing community college,124,saginaw valley state university,105,wayne state university,88,davenport university,82,114
Coca-Cola Company (The),georgia institute of technology,365,georgia state university,293,tecnológico de monterrey,254,the university of georgia,250,university of georgia - terry college of business,156,kennesaw state university,154,university of buenos aires,133,georgia state university - j. mack robinson college of business,130,fgv - fundação getulio vargas,118,emory university - goizueta business school,109,universidad de costa rica ucr,105,pontifícia universidade católica do rio de janeiro,88,harvard business school,85,cornell university,83,harvard business school online,63,115
Regeneron Pharmaceuticals,university of limerick,576,university at albany,573,limerick institute of technology,307,rensselaer polytechnic institute,306,hudson valley community college,294,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,116
Cognizant,anna university chennai,6273,savitribai phule pune university,4156,university of madras,3834,osmania university,3188,jawaharlal nehru technological university,2334,visvesvaraya technological university,2144,kendriya vidyalaya,2048,university of mumbai,1807,bharathiar university,1698,"birla institute of technology and science, pilani",1625,srm ist chennai,1563,delhi university,1181,indira gandhi national open university,1114,rajiv gandhi prodyogiki vishwavidyalaya,981,jadavpur university,539,117
Colgate-Palmolive,tecnológico de monterrey,342,rutgers university,201,university of mumbai,181,universidad nacional autónoma de méxico,164,universidad icesi,151,instituto politécnico nacional,147,kansas state university,141,fgv - fundação getulio vargas,136,universidad del valle de méxico,124,usp - universidade de são paulo,91,universidad panamericana,81,pontificia universidad javeriana,80,espm escola superior de propaganda e marketing,79,stanford university graduate school of business,75,the tuck school of business at dartmouth,63,118
Comcast,university of phoenix,1072,penn state university,762,drexel university,729,temple university,625,southern new hampshire university,508,anna university chennai,438,villanova university,408,the university of arizona global campus,354,university of pennsylvania,277,fox school of business at temple university,265,saint joseph's university,217,university of madras,212,"shanmugha arts, science, technology & reserch academy (sastra), thanjavur",206,rutgers university,189,"birla institute of technology and science, pilani",123,119
Conagra Brands,university of nebraska at omaha,244,university of nebraska-lincoln,205,bellevue university,150,purdue university,105,michigan state university,96,university of illinois urbana-champaign,91,iowa state university,86,university of arkansas,73,creighton university,59,kansas state university,51,metropolitan community college,49,tecnológico de monterrey,45,university of phoenix,44,indiana university - kelley school of business,38,university of wisconsin-madison,38,120
ConocoPhillips,texas a&m university,405,oklahoma state university,336,the university of texas at austin,216,university of houston,214,university of stavanger,193,university of oklahoma,192,university of calgary,189,texas tech university,172,southern alberta institute of technology (sait),156,university of alaska anchorage,116,norwegian university of science and technology (ntnu),110,the university of tulsa,98,colorado school of mines,94,louisiana state university,83,university of alberta,72,121
Consolidated Edison,manhattan university,375,the city college of new york,225,baruch college,190,new york university,174,stony brook university,155,new york university - polytechnic school of engineering,140,nyu stern school of business,132,mercy university,130,new york institute of technology,122,"city tech, cuny",122,brooklyn college,107,columbia university,102,stevens institute of technology,81,rutgers university,78,pace university - lubin school of business,70,122
Constellation Brands,institute of technology of sonora,118,tecnológico de monterrey,92,rochester institute of technology,84,st. john fisher university,78,wine & spirit education trust,65,california polytechnic state university-san luis obispo,52,suny geneseo,50,università degli studi di firenze,49,"university of california, davis",48,"california state university, fresno",44,universidad autónoma de coahuila,43,university of illinois urbana-champaign,43,universidad nacional autónoma de méxico,42,university of rochester - simon business school,39,university at buffalo,36,123
Constellation Energy,penn state university,243,university of illinois urbana-champaign,207,excelsior university,127,university of illinois chicago,121,university of maryland,114,towson university,107,northern illinois university,87,loyola university maryland,80,university of maryland global campus,79,joliet junior college,78,purdue university,78,drexel university,78,state university of new york at oswego,77,university of maryland baltimore county,71,university of phoenix,65,124
Cooper Companies (The),california polytechnic state university-san luis obispo,5,"university of california, berkeley",5,university of portsmouth,4,icaew,4,rochester institute of technology,4,ucla,4,university of rochester - simon business school,3,cal state east bay- college of business & economics,3,san josé state university,3,monroe community college,3,the institute of chartered accountants of india,3,suny brockport,3,suny geneseo,3,university of michigan,3,"university of california, davis",3,125
Copart,the university of texas at dallas,105,university of north texas,41,university of phoenix,30,the university of texas at arlington,29,osmania university,25,jawaharlal nehru technological university,24,collin college,18,"naveen jindal school of management, ut dallas",16,texas a&m university,13,"birla institute of technology and science, pilani",13,southern methodist university,10,dallas college,10,gitam deemed university,9,arizona state university,7,solano community college,7,126
Corning Inc.,corning community college,428,rochester institute of technology,225,penn state university,218,lodz university of technology,211,alfred university,209,north carolina state university,174,universidad tecmilenio,158,university of north carolina at charlotte,137,clarkson university,128,cornell university,126,alfred state college - suny college of technology,120,commonwealth university-mansfield,112,tecnológico de monterrey,104,university at buffalo,98,binghamton university,90,127
Corpay,uninove - universidade nove de julho,145,universidade paulista,135,middle tennessee state university (mtsu),133,estácio,94,anhanguera educacional,77,fgv - fundação getulio vargas,69,universidade anhembi morumbi,62,universidade presbiteriana mackenzie,61,"university of tennessee, knoxville",46,centro universitário fmu | fiam-faam,41,university of phoenix,40,tennessee state university,39,usp - universidade de são paulo,36,fiap,36,kennesaw state university,24,128
Regions Financial Corporation,the university of alabama,688,university of alabama at birmingham,671,auburn university,419,samford university,170,university of phoenix,170,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,129
Corteva,iowa state university,714,purdue university,340,fgv - fundação getulio vargas,332,universidad de oviedo,188,universidade de santa cruz do sul,136,university of illinois urbana-champaign,131,university of nebraska-lincoln,131,universidade federal de viçosa,127,universidade estadual paulista júlio de mesquita filho,119,usp - universidade de são paulo,113,university of buenos aires,109,mba usp/esalq,108,indiana university indianapolis,101,"escola superior de agricultura ""luiz de queiroz""",99,indiana university bloomington,90,130
CoStar Group,virginia commonwealth university,487,james madison university,175,virginia tech,152,university of virginia,117,old dominion university,101,university of maryland,88,longwood university,72,liberty university,67,george mason university,66,uc irvine,64,christopher newport university,60,radford university,57,georgia state university,57,"california state university, fullerton",56,virginia state university,50,131
